N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
185,1995,Bahamas,,10.0,,,171.0,,8.0,9.0,79.0,,41.0,64.0,27.0,,15759.0,3282.0,,,,12.0,41.0,21.0,,299.0,1284.0,,22.0,38.0,4.0,8.0,10.0,51.0,8.0,15.0,8.0,,41.0,8.0,30.0,12.0,,,550.0,,41.0,,2.0,20.0,23.0,1040.0,,,4294.0
186,1995,Barbados,,246.0,,59.0,,,,,0.0,,492.0,,616.0,,0.0,679.0,,,,0.0,3621.0,4014.0,,1910.0,,,0.0,,,,,,,,,,,,,,,,2792.0,,,0.0,,,0.0,729.0,,,1213.0
187,1995,"Bonaire, Sint Eustatius and Saba",351.0,669.0,3739.0,91.0,296.0,,874.0,,1295.0,2310.0,960.0,8267.0,10.0,127.0,3574.0,938.0,96.0,,48.0,1312.0,1.0,80.0,289.0,48.0,,108.0,,,,,,21.0,,,28.0,,,,1641.0,,,4.0,812.0,,,2167.0,,947.0,,108.0,,,722.0
188,1995,British Virgin Islands,,456.0,,16.0,111.0,,,,,,728.0,879.0,,,,320.0,,127.0,38.0,1828.0,323.0,1230.0,,243.0,,,,,,,,,,,,,,,,,,,989.0,,,,,,,142.0,,,792.0
189,1995,Cayman Islands,,,,125.0,137.0,,,,495.0,9.0,,45.0,11.0,,13.0,5602.0,,,32.0,,7.0,21.0,,239.0,,,236.0,187.0,,,767.0,28.0,507.0,92.0,9.0,,48.0,,154.0,,,,130.0,,10.0,,,24.0,23.0,912.0,,,1743.0
190,1995,Cuba,,,,,,,,,,,,203.0,137.0,,1564.0,497.0,,,206.0,,,,,,,,,,,116.0,,674.0,451.0,140.0,283.0,97.0,,298.0,268.0,102.0,,,,,145.0,,,327.0,,102.0,148.0,,899.0
191,1995,Curaçao,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1995,Dominica,9.0,243.0,22.0,6.0,80.0,,41.0,,6.0,,,,,19.0,732.0,62.0,69.0,78.0,8.0,30.0,135.0,60.0,,147.0,,,,,,,,,,,,,,,,,,11.0,91.0,,,9.0,,14.0,,88.0,,,299.0
193,1995,Dominican Republic,155.0,296.0,367.0,101.0,,,14.0,,7580.0,,27.0,,,108.0,207931.0,468.0,57.0,,9738.0,85.0,,,,111.0,4.0,524.0,,1724.0,407.0,528.0,481.0,1930.0,461.0,777.0,2935.0,403.0,1055.0,2101.0,5217.0,1055.0,,,50.0,68.0,2212.0,115.0,1805.0,15811.0,10.0,3957.0,,43.0,10124.0
194,1995,Grenada,,28.0,,22.0,131.0,,10.0,,,,54.0,,,,,85.0,,7.0,,11.0,119.0,333.0,,1813.0,,321.0,,,,,,,,,,,,,,,,,316.0,,,,,175.0,,145.0,,,
