Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Mexico,1995,5366.0,1725.0,2482.0,4144.0,5530.0,2571.0,4858.0,842.0,1222.0,4931.0,49676.0,395.0,3031.0,,3324.0,13722.0,302.0,4140.0,272472.0,1506.0,2194.0,,35.0,115.0,,,,,,,,,5063.0,1474.0,
Nicaragua,1995,147.0,38.0,110.0,115.0,237.0,4727.0,711.0,52.0,78.0,2136.0,900.0,20.0,9473.0,734.0,,351.0,,176.0,2952.0,9.0,116.0,,,31.0,,,,,28.0,,19.0,,147.0,48.0,
Panama,1995,667.0,194.0,695.0,997.0,17179.0,4155.0,2396.0,3554.0,1604.0,2146.0,473.0,204.0,715.0,1810.0,4593.0,,35.0,2170.0,4134.0,199.0,715.0,88.0,53.0,724.0,11.0,,17.0,,,,,,280.0,72.0,38.0
Paraguay,1995,57525.0,976.0,97450.0,2425.0,,,,,,,,,,2440.0,,,,,1684.0,3303.0,,,,,,,,,,,,,1999.0,,
Peru,1995,7087.0,3572.0,3033.0,4483.0,3706.0,210.0,564.0,112.0,2491.0,67.0,101.0,30.0,103.0,931.0,100.0,215.0,340.0,,6151.0,382.0,2021.0,,,,,,,,,14.0,,,764.0,,
United States of America,1995,106709.0,41443.0,144505.0,66875.0,390026.0,56544.0,788723.0,507397.0,216544.0,628538.0,346127.0,315898.0,191964.0,6602801.0,190601.0,93545.0,8837.0,206962.0,,22443.0,73081.0,46640.0,153418.0,435091.0,23030.0,4134.0,17231.0,10036.0,14869.0,16075.0,24356.0,9065.0,767121.0,34351.0,162619.0
Uruguay,1995,17970.0,,11084.0,1299.0,,,,,,,,,,657.0,,,1199.0,240.0,1036.0,,713.0,,,,,,,,,,,,389.0,,
Venezuela (Bolivarian Republic of),1995,9138.0,2031.0,4590.0,18675.0,588323.0,1405.0,10603.0,16240.0,26835.0,965.0,501.0,1824.0,369.0,3012.0,2193.0,1203.0,294.0,32973.0,10925.0,5364.0,,142.0,3174.0,167.0,321.0,80.0,40.0,40.0,,105.0,,,977.0,17.0,5577.0
Barbados,1995,,,,,,,0.0,,,,,0.0,,,,,,,1213.0,,,,1910.0,679.0,616.0,0.0,492.0,3621.0,246.0,4014.0,59.0,0.0,729.0,0.0,2792.0
Trinidad and Tobago,1995,,,,,,,36.0,,,,,,,,,,,,2205.0,,1213.0,2188.0,,736.0,15066.0,,,1185.0,,10556.0,,,874.0,,4666.0
Jamaica,1995,,,,,,101.0,1837.0,,,137.0,311.0,,165.0,,128.0,77.0,,,5615.0,,,497.0,2126.0,,192.0,,128.0,305.0,143.0,209.0,616.0,89.0,1277.0,7.0,
Grenada,1995,,,,,,,,,,,,,,,,,,,,,175.0,131.0,1813.0,85.0,,,54.0,119.0,28.0,333.0,22.0,11.0,145.0,,316.0
Suriname,1995,,,2594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6317.0
Dominica,1995,,,,,,,6.0,,,,,732.0,,,,,,,299.0,,14.0,80.0,147.0,62.0,,9.0,,135.0,243.0,60.0,6.0,30.0,88.0,,91.0
Saint Lucia,1995,,,6.0,,,,13.0,26.0,,,2.0,,,5.0,,16.0,,,372.0,,35.0,437.0,438.0,105.0,90.0,24.0,129.0,,65.0,245.0,7.0,25.0,143.0,0.0,1108.0
Antigua and Barbuda,1995,,,,,,,15.0,1044.0,,,,19.0,5.0,4.0,,,,,1733.0,,22.0,226.0,474.0,1832.0,137.0,23.0,3170.0,474.0,,616.0,4.0,430.0,287.0,10.0,3489.0
Saint Vincent and the Grenadines,1995,,,,,,,,,,,,,,,,,,,303.0,,,315.0,871.0,115.0,392.0,,78.0,216.0,53.0,,,36.0,148.0,,217.0
Bahamas,1995,8.0,,41.0,8.0,30.0,38.0,79.0,64.0,12.0,4.0,8.0,15759.0,10.0,51.0,8.0,15.0,,41.0,4294.0,2.0,20.0,171.0,299.0,3282.0,27.0,,41.0,41.0,10.0,21.0,,12.0,1040.0,22.0,550.0
Saint Kitts and Nevis,1995,,,,,,,,,,,,,,,,,,,,,,56.0,152.0,82.0,34.0,,115.0,60.0,231.0,97.0,8.0,,,,443.0
Canada,1995,12036.0,1948.0,10058.0,23182.0,12595.0,1894.0,3462.0,3841.0,9362.0,32598.0,11127.0,45292.0,3293.0,30113.0,7730.0,1785.0,4780.0,14301.0,244567.0,5570.0,5582.0,14373.0,55297.0,108174.0,6638.0,664.0,2099.0,2435.0,2082.0,6477.0,1153.0,1944.0,,1145.0,72507.0
Belize,1995,,,,,,,,,,6661.0,14350.0,37.0,4100.0,2782.0,,,,,1908.0,,,,,424.0,,,,,,,,,515.0,,
Guyana,1995,,,780.0,,,,,,,,,,,,,,,,459.0,,768.0,186.0,310.0,124.0,81.0,1681.0,19.0,275.0,8.0,154.0,6.0,,147.0,,
Argentina,2000,,226137.0,32925.0,205945.0,3622.0,257.0,2319.0,1434.0,2004.0,156.0,201.0,86.0,139.0,3040.0,190.0,338.0,315086.0,85411.0,9364.0,113827.0,2600.0,16.0,71.0,25.0,23.0,11.0,9.0,,,,,,1110.0,12.0,
Bolivia (Plurinational State of),2000,28095.0,,14801.0,4388.0,1342.0,141.0,513.0,0.0,738.0,107.0,141.0,7.0,197.0,9323.0,85.0,97.0,3236.0,9386.0,3656.0,453.0,543.0,0.0,14.0,2.0,2.0,1.0,0.0,,0.0,,0.0,0.0,1672.0,922.0,7.0
Brazil,2000,27597.0,20437.0,,17172.0,4169.0,239.0,1346.0,102.0,1191.0,481.0,158.0,15.0,136.0,1261.0,501.0,559.0,28891.0,10840.0,13981.0,24799.0,2167.0,,,57.0,,233.0,,,,,,,1256.0,,1607.0
Chile,2000,45770.0,10568.0,6886.0,,3913.0,455.0,2984.0,271.0,8857.0,228.0,220.0,45.0,234.0,1700.0,234.0,504.0,1198.0,35460.0,7884.0,2238.0,4044.0,4.0,10.0,21.0,5.0,2.0,27.0,60.0,12.0,5.0,1.0,12.0,1809.0,2.0,15.0
Colombia,2000,2582.0,671.0,1889.0,1761.0,,822.0,1454.0,338.0,11964.0,315.0,346.0,99.0,286.0,2236.0,479.0,1858.0,201.0,3788.0,15068.0,364.0,37200.0,,39.0,66.0,,,43.0,,35.0,,,,780.0,,16.0
Costa Rica,2000,1120.0,282.0,415.0,1327.0,5995.0,,4391.0,838.0,971.0,8857.0,2029.0,54.0,2994.0,2365.0,230085.0,10438.0,63.0,2887.0,9667.0,239.0,1054.0,8.0,27.0,166.0,6.0,15.0,4.0,1.0,,1.0,9.0,1.0,1074.0,106.0,21.0
Cuba,2000,192.0,66.0,,203.0,182.0,,,138.0,69.0,,79.0,1065.0,,459.0,307.0,95.0,,98.0,612.0,,222.0,,,338.0,93.0,,,,,,,,69.0,,
Dominican Republic,2000,3227.0,443.0,1160.0,2310.0,5737.0,1896.0,8335.0,,1160.0,447.0,580.0,228652.0,529.0,2122.0,507.0,854.0,75.0,2432.0,11133.0,1985.0,17386.0,,122.0,514.0,,126.0,29.0,,325.0,,111.0,93.0,4351.0,,55.0
Ecuador,2000,2239.0,634.0,1101.0,4702.0,71556.0,389.0,1242.0,147.0,,217.0,179.0,40.0,195.0,937.0,163.0,400.0,101.0,5682.0,11112.0,398.0,3691.0,,19.0,16.0,,,,,,,20.0,,971.0,,
El Salvador,2000,166.0,44.0,198.0,207.0,363.0,818.0,80.0,43.0,97.0,,6212.0,,9525.0,1438.0,4545.0,354.0,15.0,172.0,4603.0,67.0,179.0,35.0,,9.0,,,,,,,,,249.0,218.0,
Guatemala,2000,350.0,86.0,151.0,191.0,730.0,734.0,418.0,68.0,105.0,12037.0,,10.0,5295.0,11070.0,5404.0,190.0,38.0,288.0,5456.0,89.0,175.0,,,,,,,,,,,,251.0,579.0,
Haiti,2000,630.0,,,451.0,1121.0,370.0,1628.0,3257.0,,,,,,415.0,,,,475.0,2175.0,388.0,3397.0,,,,,,,,,,,,850.0,,
