origin,destination,year,qty
Suriname,United States of America,1990,2860.0
Dominica,United States of America,1990,19529.0
Saint Lucia,United States of America,1990,6959.0
Antigua and Barbuda,United States of America,1990,12022.0
Saint Vincent and the Grenadines,United States of America,1990,12824.0
Bahamas,United States of America,1990,21633.0
Saint Kitts and Nevis,United States of America,1990,7447.0
Canada,United States of America,1990,744830.0
Belize,United States of America,1990,29957.0
Guyana,United States of America,1990,120698.0
Argentina,Uruguay,1990,14559.0
Brazil,Uruguay,1990,10581.0
Chile,Uruguay,1990,1161.0
Mexico,Uruguay,1990,719.0
Paraguay,Uruguay,1990,1241.0
Peru,Uruguay,1990,555.0
United States of America,Uruguay,1990,1525.0
Venezuela (Bolivarian Republic of),Uruguay,1990,773.0
Canada,Uruguay,1990,427.0
Argentina,Venezuela (Bolivarian Republic of),1990,9483.0
Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),1990,2224.0
Brazil,Venezuela (Bolivarian Republic of),1990,4323.0
Chile,Venezuela (Bolivarian Republic of),1990,22198.0
Colombia,Venezuela (Bolivarian Republic of),1990,555578.0
Costa Rica,Venezuela (Bolivarian Republic of),1990,1661.0
Cuba,Venezuela (Bolivarian Republic of),1990,11559.0
Dominican Republic,Venezuela (Bolivarian Republic of),1990,18280.0
Ecuador,Venezuela (Bolivarian Republic of),1990,24600.0
El Salvador,Venezuela (Bolivarian Republic of),1990,1017.0
Guatemala,Venezuela (Bolivarian Republic of),1990,579.0
Haiti,Venezuela (Bolivarian Republic of),1990,2013.0
Honduras,Venezuela (Bolivarian Republic of),1990,437.0
Mexico,Venezuela (Bolivarian Republic of),1990,2886.0
Nicaragua,Venezuela (Bolivarian Republic of),1990,2526.0
Panama,Venezuela (Bolivarian Republic of),1990,1470.0
Paraguay,Venezuela (Bolivarian Republic of),1990,359.0
Peru,Venezuela (Bolivarian Republic of),1990,29635.0
United States of America,Venezuela (Bolivarian Republic of),1990,11639.0
Uruguay,Venezuela (Bolivarian Republic of),1990,6076.0
Barbados,Venezuela (Bolivarian Republic of),1990,241.0
Trinidad and Tobago,Venezuela (Bolivarian Republic of),1990,3611.0
Jamaica,Venezuela (Bolivarian Republic of),1990,220.0
Grenada,Venezuela (Bolivarian Republic of),1990,436.0
Suriname,Venezuela (Bolivarian Republic of),1990,106.0
Dominica,Venezuela (Bolivarian Republic of),1990,200.0
Saint Lucia,Venezuela (Bolivarian Republic of),1990,65.0
Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),1990,107.0
Canada,Venezuela (Bolivarian Republic of),1990,981.0
Belize,Venezuela (Bolivarian Republic of),1990,18.0
Guyana,Venezuela (Bolivarian Republic of),1990,4601.0
Cuba,Barbados,1990,0.0
Haiti,Barbados,1990,0.0
United States of America,Barbados,1990,1112.0
Trinidad and Tobago,Barbados,1990,1750.0
Jamaica,Barbados,1990,622.0
Grenada,Barbados,1990,565.0
Suriname,Barbados,1990,0.0
Dominica,Barbados,1990,451.0
Saint Lucia,Barbados,1990,3317.0
Antigua and Barbuda,Barbados,1990,226.0
Saint Vincent and the Grenadines,Barbados,1990,3676.0
Bahamas,Barbados,1990,55.0
Saint Kitts and Nevis,Barbados,1990,0.0
Canada,Barbados,1990,668.0
Belize,Barbados,1990,0.0
Guyana,Barbados,1990,2557.0
Cuba,Trinidad and Tobago,1990,40.0
United States of America,Trinidad and Tobago,1990,2430.0
Venezuela (Bolivarian Republic of),Trinidad and Tobago,1990,1337.0
Barbados,Trinidad and Tobago,1990,2411.0
Jamaica,Trinidad and Tobago,1990,811.0
Grenada,Trinidad and Tobago,1990,16589.0
Saint Lucia,Trinidad and Tobago,1990,1306.0
Saint Vincent and the Grenadines,Trinidad and Tobago,1990,11629.0
Canada,Trinidad and Tobago,1990,963.0
Guyana,Trinidad and Tobago,1990,5140.0
Costa Rica,Jamaica,1990,96.0
Cuba,Jamaica,1990,1746.0
El Salvador,Jamaica,1990,130.0
Guatemala,Jamaica,1990,295.0
Honduras,Jamaica,1990,157.0
Nicaragua,Jamaica,1990,121.0
Panama,Jamaica,1990,73.0
United States of America,Jamaica,1990,4575.0
Barbados,Jamaica,1990,418.0
Trinidad and Tobago,Jamaica,1990,1775.0
Grenada,Jamaica,1990,161.0
Dominica,Jamaica,1990,107.0
Saint Lucia,Jamaica,1990,257.0
Antigua and Barbuda,Jamaica,1990,120.0
Saint Vincent and the Grenadines,Jamaica,1990,176.0
Bahamas,Jamaica,1990,518.0
Saint Kitts and Nevis,Jamaica,1990,75.0
Canada,Jamaica,1990,1140.0
Belize,Jamaica,1990,6.0
Venezuela (Bolivarian Republic of),Grenada,1990,43.0
Barbados,Grenada,1990,101.0
Trinidad and Tobago,Grenada,1990,1647.0
Jamaica,Grenada,1990,65.0
Dominica,Grenada,1990,42.0
Saint Lucia,Grenada,1990,92.0
Antigua and Barbuda,Grenada,1990,22.0
Saint Vincent and the Grenadines,Grenada,1990,325.0
Bahamas,Grenada,1990,17.0
Saint Kitts and Nevis,Grenada,1990,9.0
Canada,Grenada,1990,85.0
Guyana,Grenada,1990,324.0
Brazil,Suriname,1990,2100.0
Guyana,Suriname,1990,5114.0
Cuba,Dominica,1990,5.0
Haiti,Dominica,1990,561.0
United States of America,Dominica,1990,226.0
Venezuela (Bolivarian Republic of),Dominica,1990,11.0
Barbados,Dominica,1990,61.0
Trinidad and Tobago,Dominica,1990,111.0
Jamaica,Dominica,1990,47.0
Suriname,Dominica,1990,7.0
Saint Lucia,Dominica,1990,102.0
Antigua and Barbuda,Dominica,1990,184.0
Saint Vincent and the Grenadines,Dominica,1990,45.0
Bahamas,Dominica,1990,5.0
Saint Kitts and Nevis,Dominica,1990,23.0
Canada,Dominica,1990,67.0
Guyana,Dominica,1990,69.0
Brazil,Saint Lucia,1990,5.0
Cuba,Saint Lucia,1990,10.0
Dominican Republic,Saint Lucia,1990,20.0
Guatemala,Saint Lucia,1990,2.0
Mexico,Saint Lucia,1990,4.0
Panama,Saint Lucia,1990,12.0
United States of America,Saint Lucia,1990,276.0
Venezuela (Bolivarian Republic of),Saint Lucia,1990,27.0
Barbados,Saint Lucia,1990,324.0
Trinidad and Tobago,Saint Lucia,1990,325.0
Jamaica,Saint Lucia,1990,78.0
Grenada,Saint Lucia,1990,67.0
Suriname,Saint Lucia,1990,18.0
Dominica,Saint Lucia,1990,96.0
Antigua and Barbuda,Saint Lucia,1990,49.0
Saint Vincent and the Grenadines,Saint Lucia,1990,182.0
Bahamas,Saint Lucia,1990,6.0
Saint Kitts and Nevis,Saint Lucia,1990,19.0
Canada,Saint Lucia,1990,107.0
Belize,Saint Lucia,1990,1.0
Guyana,Saint Lucia,1990,821.0
Cuba,Antigua and Barbuda,1990,12.0
Dominican Republic,Antigua and Barbuda,1990,621.0
Haiti,Antigua and Barbuda,1990,11.0
Honduras,Antigua and Barbuda,1990,3.0
Mexico,Antigua and Barbuda,1990,3.0
United States of America,Antigua and Barbuda,1990,1308.0
Venezuela (Bolivarian Republic of),Antigua and Barbuda,1990,11.0
Barbados,Antigua and Barbuda,1990,204.0
Trinidad and Tobago,Antigua and Barbuda,1990,356.0
Jamaica,Antigua and Barbuda,1990,386.0
Grenada,Antigua and Barbuda,1990,115.0
Suriname,Antigua and Barbuda,1990,9.0
Dominica,Antigua and Barbuda,1990,2442.0
